[1;34m[src/utils/log.c:28 init_log] Log is written to /home/lixinbao/ysyx-workbench/am-kernels/kernels/hello/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:56 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:61 load_img] The image is /home/lixinbao/ysyx-workbench/am-kernels/kernels/hello/build/hello-riscv64-nemu.bin, size = 249[0m
[1;34m[src/cpu/difftest/dut.c:84 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:85 init_difftest] The result of every instruction will be compared with /home/lixinbao/ysyx-workbench/nemu/tools/spike-diff/build/riscv64-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/monitor/monitor.c:28 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:29 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:32 welcome] Build time: 20:23:36, Oct  5 2022[0m
0x0000000080000000: 00 00 04 13 li	s0, 0
0x0000000080000004: 00 00 91 17 auipc	sp, 9
0x0000000080000008: ff c1 01 13 addi	sp, sp, -4
0x000000008000000c: 09 00 00 ef jal	0x8000009c
0x000000008000009c: ff 01 01 13 addi	sp, sp, -16
0x00000000800000a0: 00 00 05 17 auipc	a0, 0
0x00000000800000a4: 05 05 05 13 addi	a0, a0, 80
0x00000000800000a8: 00 11 34 23 sd	ra, 8(sp)
0x00000000800000ac: f6 5f f0 ef jal	0x80000010
0x0000000080000010: fd 01 01 13 addi	sp, sp, -48
0x0000000080000014: 00 91 3c 23 sd	s1, 24(sp)
0x0000000080000018: 01 21 38 23 sd	s2, 16(sp)
0x000000008000001c: 01 31 34 23 sd	s3, 8(sp)
0x0000000080000020: 02 11 34 23 sd	ra, 40(sp)
0x0000000080000024: 00 05 09 93 mv	s3, a0
0x0000000080000028: 02 81 30 23 sd	s0, 32(sp)
0x000000008000002c: 00 00 04 97 auipc	s1, 0
0x0000000080000030: 09 44 84 93 addi	s1, s1, 148
0x0000000080000034: 04 80 05 13 li	a0, 72
0x0000000080000038: 02 50 09 13 li	s2, 37
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
0x0000000080000090: 01 d7 97 93 slli	a5, a5, 29
0x0000000080000094: 3e a7 8c 23 sb	a0, 1016(a5)
0x0000000080000098: 00 00 80 67 ret
0x0000000080000044: 00 14 c5 03 lbu	a0, 1(s1)
0x0000000080000048: 00 14 84 93 addi	s1, s1, 1
0x000000008000004c: fe 05 18 e3 bnez	a0, 0x8000003c
0x000000008000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x0000000080000040: 04 c0 00 ef jal	0x8000008c
0x000000008000008c: 00 50 07 93 li	a5, 5
